CustomerID,FirstName,MiddleInitial,LastName
1,Aaron,NULL,Alexander
2,Aaron,NULL,Bryant
3,Aaron,NULL,Butler
4,Aaron,NULL,Chen
5,Aaron,NULL,Coleman
6,Aaron,NULL,Con
7,Aaron,NULL,Edwards
8,Aaron,NULL,Flores
9,Aaron,NULL,Foster
10,Aaron,NULL,Gonzales
11,Aaron,NULL,Griffin
12,Aaron,NULL,Henderson
13,Aaron,NULL,Hernandez
14,Aaron,NULL,Hill
15,Aaron,NULL,Jai
16,Aaron,NULL,Jenkins
17,Aaron,NULL,Lal
18,Aaron,NULL,Li
19,Aaron,NULL,Nicholls
20,Aaron,NULL,Perry
21,Aaron,NULL,Powell
22,Aaron,NULL,Roberts
23,Aaron,NULL,Russell
24,Aaron,NULL,Shan
25,Aaron,NULL,Simmons
26,Aaron,A,Allen
27,Aaron,A,Hayes
28,Aaron,A,Zhang
29,Aaron,B,Adams
30,Aaron,C,Campbell
31,Aaron,C,Diaz
32,Aaron,C,Scott
33,Aaron,C,Yang
34,Aaron,E,Baker
35,Aaron,E,Evans
36,Aaron,J,Carter
37,Aaron,J,Hughes
38,Aaron,J,McDonald
39,Aaron,J,Sharma
40,Aaron,K,Hall
41,Aaron,L,King
42,Aaron,L,Perez
43,Aaron,L,Washington
44,Aaron,L,Wright
45,Aaron,M,Gonzalez
46,Aaron,M,Kumar
47,Aaron,M,Young
48,Aaron,N,Ross
49,Aaron,P,Collins
50,Aaron,R,Green
51,Aaron,R,Nelson
52,Aaron,R,Phillips
53,Aaron,V,Wang
54,Aaron,W,Mitchell
55,Aaron,W,Patterson
56,Abby,NULL,Arthur
57,Abby,NULL,Fernandez
58,Abby,NULL,Madan
59,Abby,NULL,Martinez
60,Abby,NULL,Patel
61,Abby,NULL,Perez
62,Abby,NULL,Sandberg
63,Abby,NULL,Subram
64,Abby,A,Garcia
65,Abby,C,Mehta
66,Abby,E,Chandra
67,Abby,J,Kapoor
68,Abby,J,Sanchez
69,Abby,K,Kovár
70,Abby,L,Sai
71,Abby,M,Lopez
72,Abby,P,Gonzalez
73,Abby,P,Rana
74,Abby,T,Raman
75,Abe,M,Tramel
76,Abhijit,NULL,Thakur
77,Abigail,NULL,Alexander
78,Abigail,NULL,Barnes
79,Abigail,NULL,Bell
80,Abigail,NULL,Clark
81,Abigail,NULL,Cox
82,Abigail,NULL,Foster
83,Abigail,NULL,Garcia
84,Abigail,NULL,Gonzales
85,Abigail,NULL,Harris
86,Abigail,NULL,Henderson
87,Abigail,NULL,Howard
88,Abigail,NULL,James
89,Abigail,NULL,Jenkins
90,Abigail,NULL,Johnson
91,Abigail,NULL,Martin
92,Abigail,NULL,Martinez
93,Abigail,NULL,Miller
94,Abigail,NULL,Murphy
95,Abigail,NULL,Patterson
96,Abigail,NULL,Rodriguez
